City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
304,mogocha,53.7333,119.7667,11.38,83,37,1.79,RU,1693432891
305,illizi,26.4833,8.4667,35.89,28,18,1.46,DZ,1693432894
306,san patricio,28.017,-97.5169,37.87,19,0,3.37,US,1693432896
307,oriximina,-1.7656,-55.8661,31.68,40,0,1.8,BR,1693432898
308,sosnovo-ozerskoye,52.5249,111.5418,8.62,80,0,1.06,RU,1693432899
309,makokou,0.5738,12.8642,22.21,92,100,0.92,GA,1693432901
310,fort mcmurray,56.7268,-111.381,30.77,45,0,4.63,CA,1693432810
311,edd,13.9297,41.6925,33.3,65,79,3.85,ER,1693432905
312,enewetak,11.3474,162.3373,28.73,76,99,5.48,MH,1693432910
313,ust'-barguzin,53.45,108.9833,13.31,74,1,1.77,RU,1693432914
314,onega,63.9061,38.1404,13.32,81,100,2.13,RU,1693432917
315,mbale,1.0821,34.175,19.07,78,47,2.19,UG,1693432918
316,seaside,36.6111,-121.8516,36.51,69,0,4.47,US,1693432920
317,chinchilla,-26.75,150.6333,16.17,58,20,5.76,AU,1693432922
318,hotan,37.0997,79.9269,22.31,23,0,1.5,CN,1693432924
319,wamba,8.9333,8.6,22.81,96,68,0.53,NG,1693432730
320,aykhal,66.0,111.5,8.8,92,99,6.89,RU,1693432933
321,sunan,39.1983,125.69,18.75,93,61,1.16,KP,1693432934
322,domna,51.8971,113.1573,4.09,100,1,0.0,RU,1693432935
323,lhokseumawe,5.1801,97.1507,25.33,89,100,2.65,ID,1693432937
324,dongkan,33.9997,119.8308,18.8,83,100,0.84,CN,1693432938
325,huaibei,33.9744,116.7917,18.96,93,0,1.66,CN,1693432767
326,dorado,18.4588,-66.2677,32.32,70,40,2.57,PR,1693432740
327,pathein,16.7833,94.7333,25.02,92,80,1.46,MM,1693432945
328,margate,51.3813,1.3862,15.5,76,97,1.34,GB,1693432967
329,aginskoye,51.1,114.53,11.26,59,5,2.44,RU,1693432970
330,umba,66.6871,34.3429,11.17,90,100,3.02,RU,1693432971
331,cabugao,17.7931,120.4578,26.05,94,100,5.12,PH,1693432972
332,asekeyevo,53.5742,52.7972,10.24,61,53,3.97,RU,1693432974
333,alvorada,-12.48,-49.1247,30.14,45,47,0.93,BR,1693432895
334,silver lake,34.1488,-77.9136,26.11,96,75,5.66,US,1693432977
335,bathsheba,13.2167,-59.5167,29.34,84,40,6.69,BB,1693432978
336,ghat,24.9647,10.1728,31.82,30,38,1.49,LY,1693432979
337,kayyerkan,69.3786,87.7439,4.61,100,1,4.9,RU,1693432981
338,hammerfest,70.6634,23.6821,10.25,93,40,0.0,NO,1693432983
339,kenosha,42.5667,-88.0501,23.14,57,0,4.12,US,1693432985
340,manggar,-2.8833,108.2667,26.86,75,100,5.67,ID,1693432989
341,san mateo del mar,16.2,-95.0,29.92,71,24,6.03,MX,1693432991
342,skovorodino,53.9833,123.9167,14.37,78,98,1.45,RU,1693432993
343,kapoeta,4.7717,33.5903,23.79,69,99,2.82,SS,1693432994
344,bitlis,38.5,42.25,15.35,55,4,0.95,TR,1693432996
345,ust-tsilma,65.441,52.1498,9.97,74,100,1.52,RU,1693432998
346,kavaratti,10.5669,72.642,28.19,78,90,7.72,IN,1693432904
347,urucui,-7.2294,-44.5561,31.45,25,3,2.11,BR,1693433003
348,minas de marcona,-15.2119,-75.1103,14.21,80,27,7.94,PE,1693432870
349,ketchikan,55.3422,-131.6461,15.99,86,100,1.73,US,1693432848
350,buzuluk,52.7807,52.2635,10.53,59,4,3.42,RU,1693433009
351,bobo-dioulasso,11.1771,-4.2979,27.25,78,20,2.06,BF,1693432827
352,taoudenni,22.6783,-3.9836,39.25,21,4,2.81,ML,1693433014
353,fort bragg,35.139,-79.006,26.01,96,100,3.09,US,1693433016
354,aleksandrov gay,50.147,48.5704,15.23,44,5,2.87,RU,1693432912
355,bikenibeu village,1.3673,173.1241,29.98,74,40,2.06,KI,1693432856
356,san andres,12.5847,-81.7006,32.01,74,40,4.12,CO,1693432965
357,alamosa,37.4695,-105.87,26.99,22,0,2.57,US,1693433020
358,port nelson,23.6333,-74.8333,29.89,79,96,4.31,BS,1693433021
359,katabu,-4.9333,122.5167,20.4,86,28,1.93,ID,1693433022
360,posto fiscal rolim de moura,-13.0833,-62.2667,25.54,78,92,1.01,BR,1693433023
361,bereeda,11.8704,51.0579,29.99,57,2,2.94,SO,1693433025
362,moses lake,47.1301,-119.2781,24.2,35,100,3.6,US,1693432924
363,askale,39.9208,40.695,12.64,52,6,0.4,TR,1693433027
364,roma,43.2128,-75.4557,18.65,90,100,5.14,US,1693432950
365,kone,-21.0595,164.8658,24.35,80,99,1.74,NC,1693433030
366,mhamid,29.82,-5.72,32.3,13,0,3.35,MA,1693433031
367,qaisumah,28.3112,46.1273,31.98,19,0,3.09,SA,1693433033
368,vanimo,-2.6741,141.3028,25.77,89,31,2.07,PG,1693433035
369,pradopolis,-21.3594,-48.0656,27.1,47,74,1.61,BR,1693433036
370,ryotsu-minato,38.0833,138.4333,28.49,77,98,3.5,JP,1693433038
371,nelson bay,-32.7167,152.15,14.49,91,31,4.47,AU,1693433039
372,heunghae,36.1125,129.3522,23.94,92,95,1.07,KR,1693433040
373,baise city,23.8997,106.6133,20.94,83,10,1.63,CN,1693433042
374,vilyuysk,63.7553,121.6247,18.58,54,100,4.13,RU,1693433043
375,madera,37.1666,-119.8343,37.7,21,0,2.33,US,1693433045
376,misratah,32.3754,15.0925,27.2,72,6,8.55,LY,1693433047
377,statesboro,32.4488,-81.7832,25.74,93,100,11.32,US,1693432921
378,choszczno,53.169,15.4205,13.77,93,68,2.68,PL,1693433052
379,berezovyy,51.6667,135.7,15.02,78,100,0.77,RU,1693433054
380,freeport,40.6576,-73.5832,29.52,51,27,3.58,US,1693432806
381,qamdo,31.1667,97.2333,4.94,94,100,0.53,CN,1693433059
382,turaif,31.6725,38.6637,26.14,22,0,3.09,SA,1693433060
383,ancud,-41.8697,-73.8203,8.12,70,100,6.3,CL,1693432961
384,east london,-33.0153,27.9116,21.09,41,0,3.81,ZA,1693432984
385,villa angela,-27.5738,-60.7153,24.42,38,0,2.54,AR,1693433066
386,wuchuan,21.4571,110.7659,24.15,89,19,3.76,CN,1693433067
387,bom sucesso,-21.0331,-44.7581,22.47,52,78,1.61,BR,1693433069
388,caleta de carquin,-11.0925,-77.6267,20.98,75,8,5.75,PE,1693432883
389,luwuk,-0.9516,122.7875,22.05,83,45,2.34,ID,1693433071
390,plettenberg bay,-34.0527,23.3716,17.79,57,7,1.18,ZA,1693433073
391,saint-philippe,-21.3585,55.7679,20.18,78,96,4.74,RE,1693433074
392,puerto armuelles,8.2833,-82.8667,31.99,83,51,3.61,PA,1693433075
393,buka,40.8108,69.1986,19.43,65,99,3.07,UZ,1693433077
394,jati,24.3539,68.2671,26.38,73,13,5.27,PK,1693433081
395,liwale,-9.7667,37.9333,19.0,88,23,1.39,TZ,1693433082
396,aegina,37.7467,23.4275,28.44,67,2,7.42,GR,1693433085
397,tsengel,49.4783,100.8894,14.54,93,100,1.75,MN,1693433086
398,puerto deseado,-47.7503,-65.8938,8.87,37,76,8.32,AR,1693432959
399,tromso,69.6496,18.957,10.77,87,40,0.0,NO,1693433096
400,bouarfa,32.53,-1.95,23.11,29,0,7.97,MA,1693433099
401,noumea,-22.2763,166.4572,21.11,99,100,6.04,NC,1693432731
402,hrinova,48.5779,19.5257,13.18,97,100,1.46,SK,1693433102
403,yulinshi,38.2906,109.7494,19.39,47,76,1.98,CN,1693433105
404,pandan,14.0453,124.1694,28.13,74,91,6.44,PH,1693433107
405,copala,16.65,-98.9833,27.89,81,83,1.74,MX,1693433109
406,constantia,44.1833,28.65,24.38,79,57,3.42,RO,1693432967
407,hadagalli,15.0167,75.95,23.13,87,35,4.55,IN,1693433111
408,galesong,-5.3166,119.3661,20.01,69,37,3.37,ID,1693433113
409,quellon,-43.1167,-73.6167,10.14,66,40,5.66,CL,1693433114
410,veraval,20.9,70.3667,25.74,81,5,2.9,IN,1693433116
411,pelabuhanratu,-6.9875,106.5514,22.26,90,78,1.54,ID,1693433118
412,new norfolk,-42.7826,147.0587,11.72,85,100,3.76,AU,1693432860
413,sao tome,0.3365,6.7273,24.89,89,67,4.81,ST,1693433122
414,cabedelo,-6.9811,-34.8339,25.37,82,0,4.68,BR,1693433125
415,wildwood,38.5828,-90.6629,27.45,52,40,3.13,US,1693433127
416,beytussebap,37.5694,43.1681,16.5,62,3,2.43,TR,1693433129
417,kirensk,57.7853,108.1119,16.44,87,100,1.07,RU,1693433131
418,klaksvik,62.2266,-6.589,9.51,78,100,3.85,FO,1693432873
419,pariaman,-0.619,100.12,25.03,91,96,2.93,ID,1693433139
420,port shepstone,-30.7414,30.455,18.68,73,0,5.34,ZA,1693433140
421,magnitogorsk,53.4186,59.0472,9.86,88,70,4.27,RU,1693433141
422,mamuju,-2.6748,118.8885,25.37,86,59,1.71,ID,1693433142
423,bimbo,4.2567,18.4158,22.7,82,100,0.67,CF,1693433143
424,le grazie di ancona,43.6008,13.5153,18.89,59,75,1.54,IT,1693433148
425,groningen,53.25,6.75,12.23,92,0,3.6,NL,1693433100
426,linhares,-19.3911,-40.0722,21.95,93,64,2.05,BR,1693433151
427,port blair,11.6667,92.75,27.02,83,75,2.06,IN,1693433153
428,salinopolis,-0.6136,-47.3561,26.91,78,0,6.3,BR,1693433154
429,hanceville,34.0607,-86.7675,30.86,42,6,5.26,US,1693433155
430,ipueiras,-7.0333,-40.45,29.77,26,62,2.89,BR,1693433156
431,tazovsky,67.4667,78.7,4.3,75,38,3.35,RU,1693433157
432,ambon,-3.6954,128.1814,25.49,95,40,2.06,ID,1693433159
433,dunay,42.8803,132.3375,18.8,96,100,3.46,RU,1693433161
434,lospalos,-8.5186,127.0025,18.93,77,98,2.75,TL,1693433165
435,crotone,39.0851,17.1178,21.65,62,1,4.0,IT,1693433167
436,fiambala,-27.6871,-67.6149,22.09,10,0,4.14,AR,1693433168
437,mana,5.6592,-53.7767,27.29,82,5,3.32,GF,1693432956
438,hasaki,35.7333,140.8333,27.39,82,100,4.86,JP,1693432962
439,siwa oasis,29.2041,25.5195,32.32,31,1,4.31,EG,1693433193
440,praia da vitoria,38.7333,-27.0667,23.2,86,39,1.41,PT,1693433215
441,san julian,21.0167,-102.1667,26.36,34,68,0.9,MX,1693433216
442,ola,59.5833,151.2833,12.37,92,98,3.4,RU,1693433217
443,crane,31.3974,-102.3501,33.03,20,1,0.63,US,1693433218
444,sabha,27.0377,14.4283,32.38,30,1,6.82,LY,1693433220
445,namibe,-15.1961,12.1522,19.9,84,97,3.32,AO,1693433221
446,raduzhnyy,62.0961,77.475,12.95,81,98,4.23,RU,1693433222
